,state,year,number_of_drinks_total
1227,new hampshire,2009,953.6
1228,new hampshire,2008,936.5333333
1229,new hampshire,2007,930.1333333
1230,new hampshire,2006,913.0666667
1231,new hampshire,2005,896
1232,new hampshire,2004,883.2
1233,new hampshire,2003,872.5333333
1234,new hampshire,2002,872.5333333
1235,new hampshire,2001,859.7333333
1260,new jersey,2018,503.4666667
1261,new jersey,2017,503.4666667
1262,new jersey,2016,503.4666667
1263,new jersey,2015,505.6
1264,new jersey,2014,509.8666667
1265,new jersey,2013,505.6
1266,new jersey,2012,512
1267,new jersey,2011,505.6
1268,new jersey,2010,501.3333333
1269,new jersey,2009,499.2
1270,new jersey,2008,501.3333333
1271,new jersey,2007,497.0666667
1272,new jersey,2006,497.0666667
1273,new jersey,2005,490.6666667
1274,new jersey,2004,490.6666667
1275,new jersey,2003,477.8666667
1276,new jersey,2002,477.8666667
1277,new jersey,2001,469.3333333
1302,new mexico,2018,482.1333333
1303,new mexico,2017,460.8
1304,new mexico,2016,482.1333333
1305,new mexico,2015,448
1306,new mexico,2014,514.1333333
1307,new mexico,2013,499.2
1308,new mexico,2012,503.4666667
1309,new mexico,2011,501.3333333
1310,new mexico,2010,486.4
1311,new mexico,2009,507.7333333
1312,new mexico,2008,518.4
1313,new mexico,2007,509.8666667
1314,new mexico,2006,503.4666667
1315,new mexico,2005,516.2666667
1316,new mexico,2004,503.4666667
1317,new mexico,2003,512
1318,new mexico,2002,512
1319,new mexico,2001,509.8666667
1344,new york,2018,471.4666667
1345,new york,2017,475.7333333
1346,new york,2016,475.7333333
1347,new york,2015,467.2
1348,new york,2014,469.3333333
1349,new york,2013,471.4666667
1350,new york,2012,462.9333333
1351,new york,2011,450.1333333
1352,new york,2010,445.8666667
1353,new york,2009,443.7333333
1354,new york,2008,443.7333333
1355,new york,2007,448
1356,new york,2006,428.8
1357,new york,2005,424.5333333
1358,new york,2004,418.1333333
1359,new york,2003,413.8666667
1360,new york,2002,409.6
1361,new york,2001,403.2
1386,north carolina,2018,462.9333333
1387,north carolina,2017,454.4
1388,north carolina,2016,452.2666667
1389,north carolina,2015,448
1390,north carolina,2014,441.6
1391,north carolina,2013,435.2
1392,north carolina,2012,435.2
1393,north carolina,2011,428.8
1394,north carolina,2010,426.6666667
1395,north carolina,2009,428.8
1396,north carolina,2008,433.0666667
1397,north carolina,2007,435.2
1398,north carolina,2006,428.8
1399,north carolina,2005,418.1333333
1400,north carolina,2004,424.5333333
1401,north carolina,2003,426.6666667
1402,north carolina,2002,430.9333333
1403,north carolina,2001,426.6666667
1428,north dakota,2018,674.1333333
1429,north dakota,2017,672
1430,north dakota,2016,669.8666667
1431,north dakota,2015,695.4666667
1432,north dakota,2014,731.7333333
1433,north dakota,2013,723.2
1434,north dakota,2012,731.7333333
1435,north dakota,2011,678.4
1436,north dakota,2010,625.0666667
1437,north dakota,2009,631.4666667
1438,north dakota,2008,627.2
1439,north dakota,2007,601.6
1440,north dakota,2006,576
1441,north dakota,2005,554.6666667
1442,north dakota,2004,531.2
1443,north dakota,2003,546.1333333
1444,north dakota,2002,533.3333333
1445,north dakota,2001,516.2666667
1470,ohio,2018,433.0666667
1471,ohio,2017,430.9333333
1472,ohio,2016,433.0666667
1473,ohio,2015,433.0666667
1474,ohio,2014,433.0666667
1475,ohio,2013,435.2
1476,ohio,2012,433.0666667
1477,ohio,2011,430.9333333
1478,ohio,2010,430.9333333
1479,ohio,2009,433.0666667
1480,ohio,2008,437.3333333
1481,ohio,2007,435.2
1482,ohio,2006,428.8
1483,ohio,2005,426.6666667
1484,ohio,2004,420.2666667
1485,ohio,2003,416
1486,ohio,2002,416
1487,ohio,2001,411.7333333
1512,oklahoma,2018,394.6666667
1513,oklahoma,2017,398.9333333
1514,oklahoma,2016,403.2
1515,oklahoma,2015,403.2
1516,oklahoma,2014,407.4666667
1517,oklahoma,2013,411.7333333
1518,oklahoma,2012,413.8666667
1519,oklahoma,2011,409.6
1520,oklahoma,2010,409.6
1521,oklahoma,2009,411.7333333
1522,oklahoma,2008,420.2666667
1523,oklahoma,2007,407.4666667
1524,oklahoma,2006,398.9333333
1525,oklahoma,2005,384
1526,oklahoma,2004,362.6666667
1527,oklahoma,2003,411.7333333
1528,oklahoma,2002,388.2666667
1529,oklahoma,2001,352
1554,oregon,2018,584.5333333
1555,oregon,2017,588.8
1556,oregon,2016,588.8
1557,oregon,2015,578.1333333
1558,oregon,2014,576
1559,oregon,2013,567.4666667
1560,oregon,2012,567.4666667
1561,oregon,2011,552.5333333
1562,oregon,2010,535.4666667
1563,oregon,2009,552.5333333
1564,oregon,2008,541.8666667
1565,oregon,2007,565.3333333
1566,oregon,2006,552.5333333
1567,oregon,2005,512
1568,oregon,2004,520.5333333
1569,oregon,2003,503.4666667
1570,oregon,2002,499.2
1571,oregon,2001,490.6666667
1596,pennsylvania,2018,499.2
1597,pennsylvania,2017,501.3333333
1598,pennsylvania,2016,503.4666667
1599,pennsylvania,2015,497.0666667
