,state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
1614,pennsylvania,2000,305.77777777777777,39.689922480620154,97.58313057583132,418.13333333333327
1638,rhode island,2018,213.33333333333331,113.11627906976746,238.76723438767243,561.0666666666667
1639,rhode island,2017,220.44444444444446,115.10077519379844,226.30981346309815,554.6666666666667
1640,rhode island,2016,222.8148148148148,115.10077519379844,218.00486618004868,548.2666666666668
1641,rhode island,2015,227.55555555555557,113.11627906976746,205.54744525547449,537.6
1642,rhode island,2014,239.40740740740745,101.2093023255814,178.55636658556372,509.8666666666666
1643,rhode island,2013,237.03703703703704,113.11627906976746,203.4712084347121,546.1333333333333
1644,rhode island,2012,244.14814814814812,117.08527131782944,201.3949716139497,550.4000000000002
1645,rhode island,2011,246.51851851851856,115.10077519379844,195.16626115166264,544.0
1646,rhode island,2010,251.2592592592593,111.13178294573645,191.0137875101379,541.8666666666667
1647,rhode island,2009,253.62962962962962,109.14728682170544,176.48012976480132,526.9333333333333
1648,rhode island,2008,258.3703703703704,103.1937984496124,174.40389294403892,524.8000000000002
1649,rhode island,2007,260.7407407407408,105.1782945736434,170.25141930251422,522.6666666666666
1650,rhode island,2006,253.62962962962962,101.2093023255814,172.3276561232766,514.1333333333333
1651,rhode island,2005,232.2962962962963,97.24031007751935,170.25141930251422,488.53333333333336
1652,rhode island,2004,267.8518518518519,99.22480620155036,166.09894566098947,516.2666666666668
1653,rhode island,2003,267.8518518518519,101.2093023255814,166.09894566098947,522.6666666666666
1654,rhode island,2002,277.33333333333337,95.25581395348837,153.64152473641525,512.0
1655,rhode island,2001,282.07407407407413,91.28682170542636,145.33657745336578,503.4666666666666
1656,rhode island,2000,274.962962962963,91.28682170542636,145.33657745336578,492.8
1680,south carolina,2018,263.11111111111114,49.61240310077518,166.09894566098947,460.80000000000007
1681,south carolina,2017,270.22222222222223,49.61240310077518,166.09894566098947,467.2
1682,south carolina,2016,279.70370370370375,49.61240310077518,166.09894566098947,475.73333333333335
1683,south carolina,2015,286.8148148148148,49.61240310077518,164.0227088402271,480.0
1684,south carolina,2014,291.5555555555556,49.61240310077518,166.09894566098947,486.40000000000015
1685,south carolina,2013,298.6666666666667,49.61240310077518,166.09894566098947,492.8
1686,south carolina,2012,303.40740740740745,49.61240310077518,164.0227088402271,494.9333333333333
1687,south carolina,2011,305.77777777777777,49.61240310077518,161.94647201946472,492.8
1688,south carolina,2010,310.5185185185185,47.627906976744185,157.79399837794,492.8
1689,south carolina,2009,320.00000000000006,47.627906976744185,157.79399837794,499.2
1690,south carolina,2008,329.4814814814815,47.627906976744185,157.79399837794,512.0
1691,south carolina,2007,336.5925925925925,47.627906976744185,157.79399837794,516.2666666666668
1692,south carolina,2006,343.7037037037037,47.627906976744185,157.79399837794,522.6666666666666
1693,south carolina,2005,338.962962962963,47.627906976744185,155.71776155717762,516.2666666666668
1694,south carolina,2004,329.4814814814815,47.627906976744185,157.79399837794,507.73333333333335
1695,south carolina,2003,327.1111111111112,45.64341085271318,153.64152473641525,501.33333333333326
1696,south carolina,2002,331.8518518518518,43.65891472868218,139.10786699107868,490.6666666666666
1697,south carolina,2001,331.8518518518518,43.65891472868218,134.95539334955393,484.2666666666667
1698,south carolina,2000,353.18518518518516,43.65891472868218,149.48905109489053,518.4
1722,south dakota,2018,324.7407407407408,43.65891472868218,159.87023519870237,505.6
1723,south dakota,2017,362.66666666666674,59.534883720930225,211.77615571776158,608.0
1724,south dakota,2016,346.0740740740741,61.51937984496124,228.38605028386056,614.4
1725,south dakota,2015,353.18518518518516,57.55038759689922,213.85239253852401,599.4666666666667
1726,south dakota,2014,355.55555555555566,49.61240310077518,205.54744525547449,586.6666666666667
